Q2,Q4,Q5,Q6,Q7_1,Q7_2,Q7_3,Q8_1,Q8_2,Q8_3,Q8_4,Q9_1,Q9_2,Q9_3,Q9_4,Q10,Q11,Q12,Q13,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q17,Q19,Q21,Q22,Q23,sex,age,occupation/school,student/faculty
A good amount,From a friend,To obtain significant help with a project,Curiosity,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat,Somewhat,A good amount,6 to 10,To aid in completion of a project,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat likely,Somewhat likely,Helps when your in a time of need but also provides good tips ,Female,18-21,Social & Behavioral Sciences,Student
A little,Other,To get started with a project,To aid in completion of a project,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat,Somewhat,A little,1 to 5,Curiosity,,,,,,,,,,,,,,,,,,
A good amount,Other,To obtain significant help with a project,To aid in completion of a project,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Very much so,Somewhat,A little,6 to 10,Curiosity,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither likely nor unlikely,Very unlikely,"While ChatGPT is an advancement with countless applications that could be exciting. It is a development for which we are wholly unprepared. We don't have the intellectual infrastructure or to be frank in many ways the financial infrastructure either.  We need to concentrate on how we can fairly, and pragmatically fold this development into society as a whole ina way that is both egalitarian, equitable, and takes into account truth and authority. ",Male,42-45,,
A great deal,From the news,To obtain significant help with a project,To obtain significant help with a project,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Very much so,Somewhat,Not at all,0,Curiosity,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Very unlikely,Very unlikely,"Humanity is at across-roads with ai. Will this tech herald a new type of partnership, do we get lazy and less creative, or will we be replaced all together?",Male,46+,Professor/Faculty,Professor/Faculty
A good amount,From a family member,To obtain significant help with a project,Curiosity,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Very much so,Very much so,A good amount,11 or more times,To obtain significant help with a project,,,,,,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,,,,,,,,,
A good amount,From a friend,To aid in completion of a project,To aid in completion of a project,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Very much so,Somewhat,A good amount,6 to 10,To aid in completion of a project,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,
A little,From a friend,To obtain significant help with a project,To aid in completion of a project,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat,Somewhat,A little,1 to 5,To get started with a project,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,,,,,,,
A good amount,From a colleague,Curiosity,Other; please specify,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat,Somewhat,Not at all,1 to 5,Curiosity,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat likely,Somewhat likely,"It coulkd be very helpful in order to 'kick start"" you in developing your own project ideas and thoughts. ",Male,46+,Professor/Faculty,Professor/Faculty
A good amount,From a friend,To obtain significant help with a project,To get started with a project,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Very much so,Not at all,Not at all,0,I have not used ChatGPT,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat likely,Somewhat likely,"Even though it has its benefits as a search engine, I believe it could damage people’s ability to do research and make educated decisions. This is especially because of bias that exists in this kind of software that people may not be aware of or even disregard entirely. I think everyone should be aware of it, but understand it takes the life out of aspects where life should exist.",Non-binary / third gender,18-21,CS & Math,Student
A great deal,From a family member,To aid in completion of a project,To get started with a project,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat,Somewhat,A little,1 to 5,To aid in completion of a project,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat likely,Somewhat likely,,Female,18-21,Communications & Arts,Student
A good amount,Other,To aid in completion of a project,To get started with a project,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat,Somewhat,Not at all,0,I have not used ChatGPT,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither likely nor unlikely,Neither likely nor unlikely,"I think people are overreacting to ChatGPT. A lot of people’s jobs could have been replaced by computers before chatgpt. Excel is a wonderful tool and people still hire other people to create spreadsheets. Quiken exists and people still hire accountants. Until the computers can come up with original thoughts, I don’t think that this kind of thing will change everything. ",Female,22-25,Communications & Arts,Student
A good amount,From the news,Curiosity,To aid in completion of a project,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Very much so,Very much so,A good amount,0,Curiosity,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,
A good amount,From the news,To aid in completion of a project,To aid in completion of a project,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat,Not at all,Not at all,0,I have not used ChatGPT,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat unlikely,Somewhat unlikely,"It's entertaining and useful when it works, but it doesn't work all the time, and that makes it reasonably untrustworthy overall. In order to use ChatGPT correctly and usefully, the user already needs to know a lot about a topic to be able to fact check it's output. ",Male,18-21,CS & Math,Student
A good amount,From a friend,To obtain significant help with a project,To get started with a project,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat,Somewhat,Not at all,0,I have not used ChatGPT,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat unlikely,Very unlikely,"Personally, I consider myself to be a fairly strong writer. This, combined with my anxieties towards plagiarism, lead me to believe that I will not use ChatGPT in the future. However, I am slightly concerned about the implications of copyright infringement with a tool like this.",Female,18-21,CS & Math,Student
Nothing at all,Other,To aid in completion of a project,To get started with a project,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Very much so,Not at all,A little,6 to 10,To obtain significant help with a project,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Neither likely nor unlikely,Neither likely nor unlikely,Nuance is an important part of communication and this method removes the humanity involved in art and communication.  The AI sytems for consummer assistance serve to agitate and confuse people who need assistance,Female,46+,Social & Behavioral Sciences,Student
A good amount,From a friend,To get started with a project,To get started with a project,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Very much so,Very much so,A little,6 to 10,To get started with a project,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither likely nor unlikely,Somewhat likely, Not going away. Need to live with it,Male,38-41,Professor/Faculty,Professor/Faculty
A good amount,From the news,To aid in completion of a project,To get started with a project,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat,Somewhat,A little,6 to 10,To get started with a project,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,,,,,,,,,
A little,From the news,To obtain significant help with a project,Curiosity,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat,Very much so,Not at all,0,I have not used ChatGPT,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat unlikely,Somewhat unlikely,"Not as educated on this topic as I would like, however I think it would benefit educational settings to move forward incorporating it as productive, if not the consequences can be significant.",Female,46+,Professor/Faculty,Professor/Faculty
A good amount,From a family member,To obtain significant help with a project,Curiosity,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat,Very much so,Not at all,0,I have not used ChatGPT,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat likely,Somewhat likely,I'm not a fan of canned anything and I consider the output to be more canned than customizable though I understand there can be customization ,Female,46+,Professor/Faculty,Professor/Faculty
A good amount,From the news,To get started with a project,To get started with a project,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Very much so,Very much so,A little,1 to 5,Curiosity,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Very unlikely,Neither likely nor unlikely,"Chat GPT is a tool that we need to learn to use effectively without compromising the integrity of our work. If we turn over activities that require higher order thinking skills, then we lose the opportunity to increase our own brain power. It’s going to present challenges.",Female,46+,Professor/Faculty,Professor/Faculty
A little,Other,Other; please specify,Other; please specify,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,,,Not at all,0,I have not used ChatGPT,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat unlikely,Very unlikely,,Female,18-21,Science,Student
A great deal,From the news,Other; please specify,Other; please specify,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Very much so,Very much so,Quite a lot,11 or more times,Curiosity,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither likely nor unlikely,Very unlikely,"I teach technology.  I've been working with and teaching technology for almost 20 years now.  You can't stop progress.  Fighting against tools like ChatGPT is useless and counter productive.  Even this survey is out of date!  We are already on GPT4, Adobe has launched Firefly, and Bard is in beta.  All new tooling is scary to those comfortable with the past -- including the printing press, the radio, the TV, the personal computer, the Internet, mobile phones, video driven social media -- until you are comfortable with powerful new technology it is scary.  Take away the magic by teaching the fundamentals of computer science.  GPT and other tools are not magic -- they're just math.  It's up to the user to determine the use cases.",Male,38-41,Professor/Faculty,Professor/Faculty
A good amount,From the news,To obtain significant help with a project,Curiosity,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat,Very much so,A little,1 to 5,To aid in completion of a project,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Very likely,Very likely,,Female,18-21,,
A good amount,From a friend,To aid in completion of a project,To aid in completion of a project,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat,Somewhat,Not at all,0,I have not used ChatGPT,,,,,,,,,,,,,,,,,,
A good amount,From the news,To obtain significant help with a project,To aid in completion of a project,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Very much so,Very much so,A little,1 to 5,Curiosity,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither likely nor unlikely,Somewhat likely,,Female,18-21,Management,Student
A great deal,From the news,To get started with a project,To get started with a project,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Very much so,Very much so,A good amount,11 or more times,Curiosity,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat likely,Neither likely nor unlikely,Good for summarizing a topic I’m having a difficult time understanding,Female,18-21,Social & Behavioral Sciences,Student
A good amount,From the news,To aid in completion of a project,Other; please specify,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat,Not at all,Not at all,0,I have not used ChatGPT,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,,,,,,,
A little,From a colleague,To aid in completion of a project,To aid in completion of a project,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Very much so,Somewhat,A little,1 to 5,To get started with a project,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat likely,Somewhat likely,I think this A.I could be very useful but at the same time can be a hindrance to students in their undergraduate and postgraduate experience. This database will bring about plagiarism and no form of true authenticity to the course work because student will seek chatGPT to do all the thinking for them.  ,Female,30-33,Liberal Arts,Student
A good amount,From the news,To obtain significant help with a project,Curiosity,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat,Somewhat,A little,1 to 5,Curiosity,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,,,,,,,
A little,From the news,To obtain significant help with a project,To aid in completion of a project,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat,Somewhat,Not at all,0,I have not used ChatGPT,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat unlikely,Very unlikely,,Male,46+,Science,Student
A great deal,From the news,Curiosity,Curiosity,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Very much so,Not at all,A little,1 to 5,Curiosity,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,,,,Somewhat agree,Neither agree nor disagree,Somewhat likely,Very unlikely,,Male,22-25,Management,Student
A good amount,From a family member,To obtain significant help with a project,To get started with a project,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat,Not at all,A little,1 to 5,Curiosity,,,,,,,,,,,,,,,,,,
A good amount,From a friend,To aid in completion of a project,To aid in completion of a project,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Not at all,Very much so,A little,1 to 5,To aid in completion of a project,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very likely,Somewhat likely,It is useful for getting ideas/completing busy work. For big assignments it is only useful for ideas gotta write your own stuff. ,Male,18-21,,
A great deal,From a friend,Curiosity,To aid in completion of a project,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Very much so,Somewhat,Not at all,0,I have not used ChatGPT,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat likely,Somewhat unlikely,"I think it poses a great risk for academic dishonesty and a loss of creativity and originality.However, I think it can be very beneficial in certain professional fields.",Male,18-21,Management,Student
A good amount,Other,To obtain significant help with a project,To obtain significant help with a project,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Very much so,Somewhat,A little,1 to 5,Curiosity,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat unlikely,Somewhat unlikely,"ChatGPT could be seen as helpful for some professionals, however, I would be concerned with plagiarism and professionals passing it along as if its their work.",Female,30-33,Professor/Faculty,Professor/Faculty
A great deal,Other,To obtain significant help with a project,To obtain significant help with a project,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Very much so,Somewhat,Quite a lot,11 or more times,To aid in completion of a project,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat unlikely,Neither likely nor unlikely,"In answering these questions, I'm considering large language AI models in general, not just ChatGPT. I'm concerned. Like the internet before, AI systems like this are being developed and deployed without oversight by anyone who has any idea how we might regulate it. It seems certain that, even with regulation, a model will ""jump the rails"" onto the internet. The results of this are unknown and potentially disastrous for... humans. Creators and administrators of these models believe the same. There is also the likelihood that unstable people develop dangerous relationships with, or take violent or antisocial advice from, an AI ""personality"" that they have begun to trust. Alternatively, ""stable"" people could develop unhealthy relationships or persuaded into harmful actions that they may not have considered otherwise. It is already the case that some users use ChatGPT and other AI as a substitute for a therapist, or a lost loved one. I mean jeez, y'know? That's just off the top of my head.",Male,46+,Professor/Faculty,Professor/Faculty
Nothing at all,None,To aid in completion of a project,To aid in completion of a project,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Very much so,Somewhat,Not at all,0,I have not used ChatGPT,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Very unlikely,Very unlikely,Not sure why one would use ChatGPT when you can use the internet to research any subject,Female,46+,Management,Student
A good amount,Other,Other; please specify,To obtain significant help with a project,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat,Very much so,A little,1 to 5,Curiosity,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Very likely,Very unlikely,I think ChatGPT is a great resource with incredible knowledge and should be utilized for better productivity and knowledge.,Female,18-21,Communications & Arts,Student
A good amount,From the news,To obtain significant help with a project,To obtain significant help with a project,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Very much so,Somewhat,A little,6 to 10,To get started with a project,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither likely nor unlikely,Neither likely nor unlikely,,,,,
A good amount,From the news,To get started with a project,To get started with a project,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Very much so,Very much so,Not at all,0,I have not used ChatGPT,,,,,,,,,,,,,,,,,,
A good amount,From the news,To obtain significant help with a project,Curiosity,Somewhat agree,Strongly agree,,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Very much so,Somewhat,A little,1 to 5,Curiosity,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,,,,Female,30-33,,
A great deal,From the news,To get started with a project,To get started with a project,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat,Somewhat,A little,6 to 10,Curiosity,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,,,,,,,
A great deal,From the news,Curiosity,Curiosity,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Very much so,Very much so,A little,1 to 5,Curiosity,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly disagree,Very likely,Very unlikely,I think that we all need to see ChatGPT as a piece of tech and utilize it in that way vs as a replacement. I see ebenfits ,Female,46+,Professor/Faculty,Professor/Faculty
A good amount,From the news,To obtain significant help with a project,Curiosity,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Very much so,Somewhat,Not at all,0,I have not used ChatGPT,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Very unlikely,Very unlikely,"I believe we must reckon with it as educators and find a path of use because students and colleagues WILL use it.  At this juncture, I would trust nothing generated by ChatGPT without verifying every element of the output myself.",Female,46+,Professor/Faculty,Professor/Faculty
A little,Other,To get started with a project,Curiosity,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat,Very much so,A little,1 to 5,Curiosity,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat unlikely,Neither likely nor unlikely,,Non-binary / third gender,38-41,,
